"","longitude","latitude","k3","k4","k5","k6"
"15964",74.462658,34.287361,1,1,1,1
"15975",93.447772,24.654662,3,4,5,5
"16083",85.520024,22.462537,1,1,1,1
"16084",84.361768,23.482377,3,4,5,5
"16155",74.840204,33.709414,1,1,1,1
"16156",74.892318,33.870986,1,1,1,1
"16260",81.953482,18.352486,3,4,4,4
"16337",94.011154,24.852796,1,1,1,1
"16342",94.361652,25.095386,3,4,4,4
"16393",74.862843,33.716344,3,3,3,3
"16463",84.999721,24.795728,3,3,3,3
"16516",90.023332,25.587814,3,3,3,3
"16518",80.8167,18.8,3,3,3,3
"16539",84.897175,24.505096,3,3,3,3
"16551",81.221995,18.69544,2,2,2,2
"16593",87.236948,26.316231,1,1,1,1
"16594",86.220846,24.925516,3,3,3,3
"16637",92.780945,26.868715,3,4,5,5
"16672",74.795494,34.092473,3,3,3,3
"16744",75.522909,32.371698,3,3,3,3
"16745",75.110752,32.553325,1,1,1,1
"16747",92.589132,24.585433,3,4,5,5
"16773",92.537383,26.312427,3,3,3,3
"16777",91.289631,25.562406,3,3,3,3
"16803",94.534378,24.832857,3,3,3,3
"16811",74.801418,34.030896,3,3,3,3
"16973",83.251906,18.936128,2,2,2,2
"17161",90.527143,25.567637,1,1,1,1
"17194",91.874976,25.578221,2,2,2,2
"17395",94.361652,25.095386,1,1,1,1
"17402",92.557127,24.467444,3,4,5,5
"17470",80.006844,20.181843,1,1,1,1
"17471",84.086728,24.830603,1,1,1,1
"17556",83.191938,19.740027,3,4,4,4
"17721",83.583695,19.1774,3,4,4,4
"17757",90.239627,26.60403,3,3,3,3
"17836",85.145519,25.611838,1,1,1,1
"17837",85.145519,25.611838,1,1,1,1
"17838",85.145519,25.611838,1,1,1,1
"17839",85.145519,25.611838,1,1,1,1
"17840",85.145519,25.611838,1,1,1,1
"17841",85.145519,25.611838,1,1,1,1
"17842",85.145519,25.611838,1,1,1,1
