"","longitude","latitude","k3","k4","k5","k6"
"15215",67.010314,30.205674,3,4,4,4
"15319",67.040863,24.943729,2,2,2,2
"15322",67.018173,30.209459,1,1,1,1
"15452",67.028061,24.893379,2,3,5,5
"15454",68.296825,25.362796,2,3,5,5
"15538",71.467778,34.805278,2,3,5,5
"15599",67.135825,25.018032,2,3,5,5
"15624",67.129867,24.832234,1,1,1,1
"15625",67.129867,24.832234,1,1,1,1
"15800",70.025246,32.51899,3,4,4,4
"15946",62.041359,26.115009,2,3,5,5
"15967",69.91806,32.96083,1,1,1,1
"16127",71.558111,33.79455,2,3,5,5
"16131",73.981534,32.479122,2,3,5,5
"16173",66.994259,30.176444,1,1,1,1
"16202",62.718835,26.068672,1,1,1,1
"16205",71.458755,33.916725,2,2,2,2
"16368",62.04114,26.118144,1,1,1,1
"16369",62.3225,25.126389,2,3,5,5
"16436",71.76357,35.09054,1,1,1,1
"16532",66.19802,27.692192,1,1,1,1
"16538",67.018173,30.209459,2,3,5,5
"16546",66.973329,24.923882,2,2,2,2
"16603",67.333333,29.866667,1,1,1,1
"16643",71.544288,34.00372,3,4,4,4
"16665",67.091918,30.689888,1,1,1,1
"16719",71.246289,34.349642,2,3,5,5
"16720",71.246289,34.349642,1,1,1,1
"16778",71.544288,34.00372,1,1,1,1
"16788",66.966667,24.95,2,2,2,2
"16804",64.145994,26.730893,2,3,5,5
"16848",71.544288,34.00372,1,1,1,1
"16939",65.458628,26.913712,1,1,1,1
"16940",65.475736,26.098269,2,3,5,5
"16956",65.540337,27.023584,2,3,5,5
"16957",65.475736,26.098269,2,3,5,5
"16959",67.02263,25.050063,2,3,3,3
"16978",71.0757,33.546327,3,4,4,4
"17029",66.966667,24.95,2,2,2,2
"17030",64.446695,26.142683,2,3,5,5
"17065",70.505,32.955278,1,1,1,1
"17081",70.606202,32.98465,1,1,1,1
"17105",71.54483,34.004299,1,1,1,1
"17201",65.565693,27.107117,2,3,5,5
"17234",67.008147,24.867748,2,3,5,5
"17265",67.015178,30.197083,1,1,1,1
"17266",74.343611,31.549722,1,1,1,1
"17298",69.570278,32.304722,3,4,4,4
"17418",66.937678,30.087663,1,1,1,1
"17437",63.014758,26.156056,2,2,2,2
"17439",70.458899,31.928599,3,4,4,4
"17452",65.475736,26.098269,1,1,1,1
"17571",68.039822,28.59189,1,1,1,1
"18076",67.33333,29.866667,2,3,5,5
"18078",65.574707,26.904484,2,3,5,5
"18095",67.208338,24.835493,2,3,5,5
"18199",67.060283,24.872888,2,3,5,5
"18201",67.019165,24.921154,2,3,5,5
"18202",67.064331,24.995264,2,3,5,5
"18203",67.083178,24.916487,2,3,5,5
"18233",68.323089,25.378152,1,1,1,1
"18297",65.570785,26.91126,2,3,5,5
"18434",63.466667,25.266667,1,1,1,1
"18536",66.918443,24.867945,3,4,4,4
"18562",66.46149,30.925016,2,3,5,5
"18616",73.044135,33.598394,2,3,5,5
"18632",70.605556,32.988889,3,4,4,4
"18725",63.057648,26.003259,2,2,2,2
"18812",70.487289,33.256111,3,4,4,4
"18833",66.998734,30.182971,1,1,1,1
"18834",66.998734,30.182971,1,1,1,1
"18835",67.011856,30.18711,1,1,1,1
"18838",72.266102,34.161967,2,3,3,3
"18880",67.00178,30.165686,1,1,1,1
"18888",66.996319,30.177631,1,1,1,1
"18890",71.488758,34.575482,1,1,1,1
"18891",71.462089,33.917153,2,2,2,2
"18900",67.079213,24.944592,1,1,1,1
"18901",67.079213,24.944592,1,1,1,1
"18985",70.236554,32.974558,1,1,1,1
"19022",66.613857,27.802639,2,2,2,2
"19070",64.098431,26.967825,1,1,1,1
"19274",71.181984,34.552254,2,3,5,5
"19278",63.466667,25.266667,2,3,5,5
"19336",67.009939,24.861462,2,3,3,3
"19449",71.058109,34.443239,2,3,5,5
"19566",62.039443,26.114673,2,3,3,3
"19655",63.060556,26.004167,1,1,1,1
