"","eventid","country_txt","latitude","longitude","attacktype1","targtype1","region","weaptype1","imonth","suicide","gname","guncertain1","doubtterr","groups"
"5490",201208160002,"Iraq",33.54604,44.412808,"3","2","10","6","8","0","Al-Qaida in Iraq","1","0",3
"5493",201208160005,"Iraq",35.139177,44.448863,"3","3","10","6","8","1","Al-Qaida in Iraq","0","0",3
"5494",201208160006,"Iraq",35.139177,44.448863,"3","3","10","6","8","0","Al-Qaida in Iraq","0","0",3
"5495",201208160007,"Iraq",33.3,44.433333,"3","1","10","6","8","0","Al-Qaida in Iraq","0","0",3
"5496",201208160008,"Iraq",33.3,44.433333,"3","1","10","6","8","0","Al-Qaida in Iraq","0","0",3
"5497",201208160009,"Iraq",33.389638,44.46091,"3","14","10","6","8","0","Al-Qaida in Iraq","0","0",3
"5498",201208160010,"Iraq",33.634722,44.233611,"2","4","10","5","8","0","Al-Qaida in Iraq","0","1",2
"5499",201208160011,"Iraq",32.505556,45.824722,"3","14","10","6","8","0","Al-Qaida in Iraq","0","0",3
"5500",201208160012,"Iraq",35.468763,44.391003,"3","4","10","6","8","0","Al-Qaida in Iraq","0","1",1
"5501",201208160013,"Iraq",35.468763,44.391003,"3","14","10","6","8","0","Al-Qaida in Iraq","0","0",3
"5502",201208160014,"Iraq",35.468763,44.391003,"3","3","10","6","8","0","Al-Qaida in Iraq","0","0",3
"5503",201208160015,"Iraq",33.457222,44.086389,"2","3","10","5","8","0","Al-Qaida in Iraq","0","0",2
"5504",201208160016,"Iraq",33.457222,44.086389,"3","14","10","6","8","0","Al-Qaida in Iraq","0","0",3
"5657",201208240011,"Iraq",33.3,44.433333,"3","1","10","6","8","0","Muslim Fundamentalists","0","0",3
"5933",201209050036,"Iraq",34.885611,44.63922,"2","2","10","5","9","0","Al-Qaida in Iraq","1","0",2
"5985",201209080004,"Iraq",33.85,44.233333,"2","4","10","5","9","0","Al-Qaida in Iraq","0","1",2
"5986",201209080005,"Iraq",33.85,44.233333,"3","4","10","6","9","0","Al-Qaida in Iraq","0","1",3
"5987",201209080006,"Iraq",33.457222,44.086389,"2","3","10","5","9","0","Al-Qaida in Iraq","0","0",2
"5988",201209080007,"Iraq",33.75,44.633333,"3","14","10","6","9","0","Al-Qaida in Iraq","0","0",3
"5989",201209080008,"Iraq",33.75,44.633333,"3","14","10","6","9","0","Al-Qaida in Iraq","0","0",3
"5990",201209080009,"Iraq",33.75,44.633333,"3","14","10","6","9","0","Al-Qaida in Iraq","0","0",3
"5991",201209080010,"Iraq",34.929167,43.493056,"3","14","10","6","9","0","Al-Qaida in Iraq","0","0",3
"6006",201209090002,"Iraq",31.837555,47.151015,"3","14","10","6","9","0","Al-Qaida in Iraq","0","0",3
"6007",201209090003,"Iraq",33.389638,44.46091,"3","14","10","6","9","0","Al-Qaida in Iraq","0","0",3
"6008",201209090004,"Iraq",33.361103,44.314193,"3","1","10","6","9","0","Al-Qaida in Iraq","0","0",3
"6009",201209090005,"Iraq",33.389638,44.46091,"3","14","10","6","9","0","Al-Qaida in Iraq","0","0",3
"6010",201209090006,"Iraq",33.361103,44.314193,"3","14","10","6","9","0","Al-Qaida in Iraq","0","0",3
"6011",201209090007,"Iraq",33.281965,44.25529,"3","14","10","6","9","0","Al-Qaida in Iraq","0","0",3
"6012",201209090008,"Iraq",35.468763,44.391003,"3","3","10","6","9","0","Al-Qaida in Iraq","0","0",3
"6013",201209090009,"Iraq",35.468763,44.391003,"3","14","10","6","9","0","Al-Qaida in Iraq","0","0",3
"6014",201209090010,"Iraq",35.290356,44.007872,"3","2","10","6","9","0","Al-Qaida in Iraq","0","0",3
"6015",201209090011,"Iraq",35.268889,43.910556,"3","4","10","6","9","0","Al-Qaida in Iraq","0","0",3
